[2024-03-31T09:05:58.813Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:05:59.826Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:00.825Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:01.832Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:02.840Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:03.843Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:04.856Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:05.871Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:06.883Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:07.891Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:08.907Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:09.911Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:10.927Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:11.942Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:12.946Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:13.947Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:14.948Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:15.961Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:16.971Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:17.975Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:18.981Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:19.993Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:20.997Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:22.010Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:23.024Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:24.028Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:25.041Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:26.054Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:27.067Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:28.081Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:29.082Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:30.094Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:31.107Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:32.108Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:33.119Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:34.129Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:35.142Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:36.156Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:37.168Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:38.180Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:39.190Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:40.190Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:41.192Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:42.196Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:43.196Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:44.199Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:45.201Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:46.215Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:47.216Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:48.221Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:49.234Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:50.250Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:51.250Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:52.262Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:53.278Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:54.292Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:55.303Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:56.314Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:57.328Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:58.344Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:06:59.347Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:00.351Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:01.361Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:02.361Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:03.374Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:04.389Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:05.404Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:06.415Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:07.426Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:08.430Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:09.444Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:10.458Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:11.472Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:12.475Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:13.488Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:14.496Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:15.502Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:16.502Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:17.512Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:18.513Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:19.525Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:20.530Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:21.544Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:22.558Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:23.558Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:24.567Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:25.581Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:26.595Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:27.598Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:28.610Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:29.624Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:30.635Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:31.649Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:32.662Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:33.676Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:34.688Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:35.702Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:36.715Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:37.715Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:38.727Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:39.741Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:40.754Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:41.754Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
[2024-03-31T09:07:42.755Z] [INFO] - Leader 3 sending heartbeat & Renewing Lease
